course,hole,image_path,source_url,image_type,notes
st_pierre_old,1,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_overview,Single official course image reused for all holes; no official hole-by-hole image source located.
st_pierre_old,2,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_overview,Single official course image reused for all holes; no official hole-by-hole image source located.
st_pierre_old,3,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_overview,Single official course image reused for all holes; no official hole-by-hole image source located.
st_pierre_old,4,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_overview,Single official course image reused for all holes; no official hole-by-hole image source located.
st_pierre_old,5,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_overview,Single official course image reused for all holes; no official hole-by-hole image source located.
st_pierre_old,6,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_overview,Single official course image reused for all holes; no official hole-by-hole image source located.
st_pierre_old,7,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_overview,Single official course image reused for all holes; no official hole-by-hole image source located.
st_pierre_old,8,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_overview,Single official course image reused for all holes; no official hole-by-hole image source located.
st_pierre_old,9,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_overview,Single official course image reused for all holes; no official hole-by-hole image source located.
st_pierre_old,10,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_overview,Single official course image reused for all holes; no official hole-by-hole image source located.
st_pierre_old,11,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_overview,Single official course image reused for all holes; no official hole-by-hole image source located.
st_pierre_old,12,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_overview,Single official course image reused for all holes; no official hole-by-hole image source located.
st_pierre_old,13,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_overview,Single official course image reused for all holes; no official hole-by-hole image source located.
st_pierre_old,14,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_overview,Single official course image reused for all holes; no official hole-by-hole image source located.
st_pierre_old,15,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_overview,Single official course image reused for all holes; no official hole-by-hole image source located.
st_pierre_old,16,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_overview,Single official course image reused for all holes; no official hole-by-hole image source located.
st_pierre_old,17,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_overview,Single official course image reused for all holes; no official hole-by-hole image source located.
st_pierre_old,18,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_overview,Single official course image reused for all holes; no official hole-by-hole image source located.
neath,1,images/neath/hole_01/hole_01_01.jpg,https://www.neathgolfclub.co.uk/course-tour,official_hole_photo,Primary Neath hole photo from the scraped course-tour gallery; additional same-hole photos live beside it for slideshow use.
neath,2,images/neath/hole_02/hole_02_01.jpg,https://www.neathgolfclub.co.uk/copy-of-course-tour,official_hole_photo,Primary Neath hole photo from the scraped course-tour gallery; additional same-hole photos live beside it for slideshow use.
neath,3,images/neath/hole_03/hole_03_01.jpg,https://www.neathgolfclub.co.uk/copy-of-hole-2,official_hole_photo,Primary Neath hole photo from the scraped course-tour gallery; additional same-hole photos live beside it for slideshow use.
neath,4,images/neath/hole_04/hole_04_01.jpg,https://www.neathgolfclub.co.uk/copy-of-hole-3,official_hole_photo,Primary Neath hole photo from the scraped course-tour gallery; additional same-hole photos live beside it for slideshow use.
neath,5,images/neath/hole_05/hole_05_01.jpg,https://www.neathgolfclub.co.uk/copy-of-hole-4,official_hole_photo,Primary Neath hole photo from the scraped course-tour gallery; additional same-hole photos live beside it for slideshow use.
neath,6,images/neath/hole_06/hole_06_01.jpg,https://www.neathgolfclub.co.uk/copy-of-hole-5,official_hole_photo,Primary Neath hole photo from the scraped course-tour gallery; additional same-hole photos live beside it for slideshow use.
neath,7,images/neath/hole_07/hole_07_01.jpg,https://www.neathgolfclub.co.uk/copy-of-hole-6,official_hole_photo,Primary Neath hole photo from the scraped course-tour gallery; additional same-hole photos live beside it for slideshow use.
neath,8,images/neath/hole_08/hole_08_01.jpg,https://www.neathgolfclub.co.uk/copy-of-hole-7,official_hole_photo,Primary Neath hole photo from the scraped course-tour gallery; additional same-hole photos live beside it for slideshow use.
neath,9,images/neath/hole_09/hole_09_01.jpg,https://www.neathgolfclub.co.uk/copy-of-hole-8,official_hole_photo,Primary Neath hole photo from the scraped course-tour gallery; additional same-hole photos live beside it for slideshow use.
neath,10,images/neath/hole_10/hole_10_01.jpg,https://www.neathgolfclub.co.uk/copy-of-hole-9,official_hole_photo,Primary Neath hole photo from the scraped course-tour gallery; additional same-hole photos live beside it for slideshow use.
neath,11,images/neath/hole_11/hole_11_01.jpg,https://www.neathgolfclub.co.uk/copy-of-hole-10,official_hole_photo,Primary Neath hole photo from the scraped course-tour gallery; additional same-hole photos live beside it for slideshow use.
neath,12,images/neath/hole_12/hole_12_01.jpg,https://www.neathgolfclub.co.uk/copy-of-hole-11,official_hole_photo,Primary Neath hole photo from the scraped course-tour gallery; additional same-hole photos live beside it for slideshow use.
neath,13,images/neath/hole_13/hole_13_01.jpg,https://www.neathgolfclub.co.uk/copy-of-hole-12,official_hole_photo,Primary Neath hole photo from the scraped course-tour gallery; additional same-hole photos live beside it for slideshow use.
neath,14,images/neath/hole_14/hole_14_01.jpg,https://www.neathgolfclub.co.uk/copy-of-hole-13,official_hole_photo,Primary Neath hole photo from the scraped course-tour gallery; additional same-hole photos live beside it for slideshow use.
